"coms";"signets";"partages";"trend"
0.00027959974474188;0.00020065393446182;0.0011792530410584;"GTA6"
7.89458102800603e-05;9.2103445326737e-05;0.000271376222837707;"GTA6"
0.000968730880311573;0.00473181450366111;0.0180917481891805;"GTA6"
0.0138040038683447;0.0136230863864529;0.0819062781655625;"GTA6"
0.000615119438432136;0.00154437741360368;0.00586501582205614;"GTA6"
1.15129306658421e-05;0;1.48023394275113e-05;"GTA6"
0.000312219490301682;0;0.000273192054013972;"Candice poils"
0.000234164617726262;0;0.00335635952074308;"Candice poils"
0.00288803028529056;0.00156109745150841;0.0378175857627912;"Candice poils"
0.00382468875619561;0.000117082308863131;0.000156109745150841;"Candice poils"
0.00144401514264528;0.0026538656675643;0.00679077391406159;"Candice poils"
0.0425531914893617;0.0305851063829787;0.0638297872340425;"Cyril hanouna chute"
0.0452127659574468;0.0139627659574468;0.0711436170212766;"Cyril hanouna chute"
0.00930851063829787;0.000664893617021277;0.00664893617021277;"Cyril hanouna chute"
0.00199468085106383;0.000664893617021277;0.00664893617021277;"Cyril hanouna chute"
0.000314857573250688;9.26051686031436e-06;0.000126560397090963;"Cargo mouillé"
0.00132734074997839;0.00802269443998568;0.0858141229055798;"Cargo mouillé"
2.4694711627505e-05;9.26051686031436e-06;0.000327204929064441;"Cargo mouillé"
0.00634345404931534;0.000635888824408253;0.0351899640691946;"Cargo mouillé"
0;1.85210337206287e-05;4.63025843015718e-05;"Cargo mouillé"
0.0227848101265823;0.00506329113924051;0.0126582278481013;"Skin gratuit lego fortnite"
0.0582278481012658;0;0.159493670886076;"Skin gratuit lego fortnite"
0;0;0.00609756097560976;"L'oral de stage 3eme"
0;0;0.0182926829268293;"L'oral de stage 3eme"
0.0487804878048781;0;0.0426829268292683;"L'oral de stage 3eme"
0.184641932700604;0.0526315789473684;0.231233822260569;"Le président Macron humilié à Dubai"
0.00345509893455099;0.0107748720077487;0.0510585305105853;"pubg tiktok videos"
0.00121350491213505;0.00391725473917255;0.0202020202020202;"pubg tiktok videos"
0.00155112771551128;0.00464231354642314;0.0164660301646603;"pubg tiktok videos"
0.00117199391171994;0.00856510308565103;0.0139753701397537;"pubg tiktok videos"
0.000514736405147364;0.000673861906738619;0.00431299294312993;"pubg tiktok videos"
0.000407882573109964;0.000667177741200875;0.00428400712498027;"Cristiano Ronaldo"
0.00245766724538342;0.00739554914207121;0.0636738743207594;"Cristiano Ronaldo"
0.000344524362472098;0.0018346824197876;0.0199093594281978;"Cristiano Ronaldo"
0.00083222475254222;0.00202408062952357;0.0103041645058736;"Cristiano Ronaldo"
0.00225474059209488;0.00491533449076684;0.0415097743004667;"Cristiano Ronaldo"
0.00140957169115112;0.00507288204711969;0.030880553820816;"Try not to laugh level hard 100000000000"
0.0021719815366794;0.00999801024820676;0.0449171691939141;"Try not to laugh level hard 100000000000"
2.75807179260876e-05;6.59967178945668e-05;0.000142336205011416;"Try not to laugh level hard 100000000000"
0.000473797332944577;0.00237243425446364;0.0344758974076095;"Try not to laugh level hard 100000000000"
0.000401890461208705;0.0014873887167283;0.0414203281711423;"Try not to laugh level hard 100000000000"
0.00919327143703749;0.00437630111382942;0.0180674375845249;"Gaza pnl"
0.002963120545822;0.00987706848607333;0.0610858697138689;"Gaza pnl"
0.0017170903675789;0.00206658663708611;0.00326703034539349;"Gaza pnl"
0.00101809782856448;0.000273518819614338;0.00569830874196538;"Gaza pnl"
0.000319105289550062;3.03909799571487e-05;0.000121563919828595;"Gaza pnl"
0.00159552644775031;0.00279597015605768;0.0159400689875245;"Gaza pnl"
0.0830527497194164;0.00224466891133558;0.0347923681257015;"Boutique aujourd'hui 9 décembre"
0.0336700336700337;0.00224466891133558;0.0101010101010101;"Boutique aujourd'hui 9 décembre"
0.00112233445566779;0;0.00224466891133558;"Boutique aujourd'hui 9 décembre"
0.00336700336700337;0;0.00561167227833894;"Boutique aujourd'hui 9 décembre"
0.0190796857463524;0.00448933782267116;0.0145903479236813;"Boutique aujourd'hui 9 décembre"
0.00834979349973065;0.0125995091877656;0.0860417788950739;"Savannah et Justriadh se marient"
0;0.000179565451607111;8.97827258035554e-05;"Savannah et Justriadh se marient"
5.24612005704115e-05;4.9130330692925e-05;0.000102007889998022;"french riots"
7.49445722434449e-06;6.24538102028708e-06;8.74353342840191e-06;"french riots"
0.0144060122201289;0.0334336063952702;0.0653266854722029;"french riots"
0;1.66543493874322e-06;9.99260963245933e-06;"french riots"
0;0;0;"french riots"
2.08179367342903e-06;0;8.32717469371611e-07;"french riots"
0.00223491432828408;0.00173826669977651;0.00918798112739012;"Ibra tv perd son oeil"
0.015147752669481;0.0176309908120189;0.0705239632480755;"Ibra tv perd son oeil"
0;0;0.000248323814253787;"Ibra tv perd son oeil"
0.00347653339955302;0;0.00744971442761361;"Ibra tv perd son oeil"
