"likes";"coms";"signets";"partages";"trend"
0.0102859811977395;0.0138470310336401;0.0127335351215948;0.0109873270300504;"GTA6"
0.0018305559758689;0.00390974993891016;0.00584490136728943;0.0025284643793003;"GTA6"
0.163648085893042;0.0479758898753767;0.300281807744494;0.168564291953354;"GTA6"
0.756399544745827;0.683636067443187;0.864523536165327;0.763136521752456;"GTA6"
0.0675973500523016;0.0304634682740083;0.0980064711407995;0.054645478645969;"GTA6"
0.000238482135221015;0.000570171866091065;0;0.000137916238870926;"GTA6"
0.00355149670218163;0.0720720720720721;0;0.00564516129032258;"Candice poils"
0.0186551145455255;0.0540540540540541;0;0.0693548387096774;"Candice poils"
0.95226944542013;0.666666666666667;0.179372197309417;0.781451612903226;"Candice poils"
0.00370760644733247;0.882882882882883;0.0134529147982063;0.0032258064516129;"Candice poils"
0.02181633688483;0.333333333333333;0.304932735426009;0.140322580645161;"Candice poils"
0.456781914893617;0.927536231884058;0.308724832214765;0.430493273542601;"Cyril hanouna chute"
0.456781914893617;0.985507246376812;0.140939597315436;0.479820627802691;"Cyril hanouna chute"
0.0452127659574468;0.202898550724638;0.00671140939597315;0.0448430493273543;"Cyril hanouna chute"
0.0412234042553191;0.0434782608695652;0.00671140939597315;0.0448430493273543;"Cyril hanouna chute"
0.00225030559705639;0.0362087326943557;0.00115606936416185;0.00104161373913927;"Cargo mouillé"
0.404375902900394;0.15264465743699;1.00154142581888;0.706264925562725;"Cargo mouillé"
0.00209287681043105;0.00283990060347888;0.00115606936416185;0.00269295259387226;"Cargo mouillé"
0.590512291792713;0.729499467518637;0.079383429672447;0.289619429907017;"Cargo mouillé"
0.000768622899406092;0;0.0023121387283237;0.000381078197246075;"Cargo mouillé"
0.10379746835443;4.5;0.0625;0.0735294117647059;"Skin gratuit lego fortnite"
0.89620253164557;11.5;0;0.926470588235294;"Skin gratuit lego fortnite"
0.195121951219512;NA;0;0.0909090909090909;"L'oral de stage 3eme"
0.25;NA;0;0.272727272727273;"L'oral de stage 3eme"
0.554878048780488;Inf;0;0.636363636363636;"L'oral de stage 3eme"
1;3.50819672131148;0.285046728971963;1;"Le président Macron humilié à Dubai"
0.500899405008994;0.1209200968523;1.36279313965698;0.481616351462469;"pubg tiktok videos"
0.205756192057562;0.0424697336561743;0.495449772488624;0.190558231201953;"pubg tiktok videos"
0.0993496609934966;0.0542857142857143;0.587154357717886;0.155318010363235;"pubg tiktok videos"
0.135602601356026;0.0410169491525424;1.08330416520826;0.13182452980409;"pubg tiktok videos"
0.0583921405839214;0.0180145278450363;0.0852292614630731;0.0406828771682525;"pubg tiktok videos"
0.061216207075376;0.0242256237194167;0.105951016900602;0.0306698950766747;"Cristiano Ronaldo"
0.428400712498027;0.145969761493445;1.17444858206818;0.455851493139629;"Cristiano Ronaldo"
0.122432414150752;0.0204625500515581;0.291356344886852;0.142534301856336;"Cristiano Ronaldo"
0.117381795224459;0.0494288430892023;0.321433686622744;0.0737691686844229;"Cristiano Ronaldo"
0.270568871051386;0.133917212379307;0.780578630764824;0.297175141242938;"Cristiano Ronaldo"
0.113918215291144;0.074200824453605;1.13112233692071;0.203380594182731;"Try not to laugh level hard 100000000000"
0.311268102308703;0.114334603717819;2.22929936305732;0.295826318811245;"Try not to laugh level hard 100000000000"
0.000592985435410884;0.00145186798371834;0.0147155721502306;0.000937432084829494;"Try not to laugh level hard 100000000000"
0.254481374150169;0.0249410178631614;0.528991873490007;0.227059674526175;"Try not to laugh level hard 100000000000"
0.319739322814573;0.0211557906198958;0.331649461893257;0.272795980395019;"Try not to laugh level hard 100000000000"
0.119178227901959;0.47339593114241;0.260397830018083;0.173424737456243;"Gaza pnl"
0.615417344132262;0.152582159624413;0.587703435804702;0.58634772462077;"Gaza pnl"
0.0224589341883329;0.0884194053208138;0.122965641952984;0.0313593932322054;"Gaza pnl"
0.0990442036803477;0.0524256651017214;0.0162748643761302;0.0546966161026838;"Gaza pnl"
0.00224893251682901;0.0164319248826291;0.00180831826401447;0.00116686114352392;"Gaza pnl"
0.14165235758027;0.0821596244131455;0.166365280289331;0.153004667444574;"Gaza pnl"
0.655443322109989;9.25;0.016;0.516666666666667;"Boutique aujourd'hui 9 décembre"
0.0987654320987654;3.75;0.016;0.15;"Boutique aujourd'hui 9 décembre"
0.0325476992143659;0.125;0;0.0333333333333333;"Boutique aujourd'hui 9 décembre"
0.0527497194163861;0.375;0;0.0833333333333333;"Boutique aujourd'hui 9 décembre"
0.160493827160494;2.125;0.032;0.216666666666667;"Boutique aujourd'hui 9 décembre"
0.996588256419465;0.653395784543325;1.5089605734767;0.998957609451008;"Savannah et Justriadh se marient"
0.0034117435805351;0;0.021505376344086;0.00104239054899236;"Savannah et Justriadh se marient"
0.000525861081908172;0.00156644330345488;0.00339578117355895;0.00155860349127182;"french riots"
0.000103673324936766;0.000223777614779268;0.000431667098333765;0.000133594584966156;"french riots"
0.999260963245933;0.430150303964593;2.31085786641342;0.99814239910428;"french riots"
8.49371818759043e-05;0;0.000115111226222337;0.000152679525675607;"french riots"
0;0;0;0;"french riots"
2.45651653464625e-05;6.21604485497967e-05;0;1.27232938063006e-05;"french riots"
0.0735038490191209;0.115384615384615;0.0833333333333333;0.105113636363636;"Ibra tv perd son oeil"
0.861931959274894;0.782051282051282;0.845238095238095;0.806818181818182;"Ibra tv perd son oeil"
0.00546312391358331;0;0;0.00284090909090909;"Ibra tv perd son oeil"
0.0591010677924013;0.179487179487179;0;0.0852272727272727;"Ibra tv perd son oeil"
