"urls";"names";"user_links";"com";"hashtags";"liste_likes_2023.12.12";"liste_nb_commentaires_2023.12.12";"liste_nb_signets_2023.12.12";"liste_partages_2023.12.12";"dates";"liste_likes_2023.12.13";"liste_nb_commentaires_2023.12.13";"liste_nb_signets_2023.12.13";"liste_partages_2023.12.13";"liste_likes_2023-12-14";"liste_nb_commentaires_2023-12-14";"liste_nb_signets_2023-12-14";"liste_partages_2023-12-14"
"https://www.tiktok.com/@iam_hoodmonalisa/video/7308768084850937120";"iam_hoodmonalisa";"https://www.tiktok.com/@iam_hoodmonalisa";" IC05 Bonjour, pourrais-tu nous partager la référence de ta veste s’il te plaît ?🥰 IC05 https://fr.aliexpress.com/item/1005006024513661.html?spm=a2g0n.order_detail.order_detail_item.2.788c7d563AMsLQ&gatewayAdapt=glo2fra IC05 Merci beaucoup ! IC05 J’ai pris M et je fais 160 je voulais acheter toutes les couleurs mais j’avais plus d’argent 😂 IC05 trop belle 🥰 IC05 Merci copine ♥️✨ IC05 Stunning IC05 Comme toi ♥️";"#forupage";NA;NA;NA;NA;NA;91;8;7;0;91;8;7;0
"https://www.tiktok.com/@djenybymyself/video/7308815996129774881";"djenybymyself";"https://www.tiktok.com/@djenybymyself";" IC05 Il faut faire le gommage tous les combien stp ? IC05 pour les kit epilation, le guide gratuit on peu le choisir? IC05 Qui a des poils incarnés ici ? IC05 hello je trouve que les gommage restent inutiles";"#epilation#poi#estheticienne#wax#waxing#lol#funny#epilationalacire";425;6;71;0;"1w ago ";478;6;86;0;487;5;90;0
"https://www.tiktok.com/@rs660biker/video/7308800180336233760";"rs660biker";"https://www.tiktok.com/@rs660biker";" IC05 je sais même pas comment je réussis à te communiquer l’entièreté de ma journée sans intercom. je crois que je suis une génie tout simplement 🤭 IC05 Toujours des galères de pantalon Maïa vous avez une solution ? 😭 IC05 Moi je dit maïa et les pantalons une grande histoire ! Sinon vous êtes trop beaux IC05 J’allais demander la ref du pull rose mais je viens de me rendre compte que je le porte actuellement 🤣🤣 IC05 ATTENDEZ, EST CE BIEN LE PREMIER BISOU QU'ON VOIT DE LA CHAINE??? IC05 🫣🤗 IC05 Encore des problèmes de pantalon, un pull Pulp Fiction (très bon choix soit dit en passant) un jeté de cheveux mortel, trop d'info pour ma petite tête IC05 achete lui un casque à sa taille frero tu fait beaucoup de moto avec alors pense à sa sécurité y a des scorpion très bien et pas cher IC05 c’est son collègue mdrrrr IC05 vous êtes trop drôle et mignon ✨️😭 IC05 Le “T'as plus de poils” c'est pour m'achever 🤣🤣🤣 IC05 trop mimi❤️ IC05 C’est quelle caméra que tu as sur ton casque ? IC05 Vous êtes trop mignons IC05 C’est quoi comme moto que tu as ? IC05 je. vais acheter une moto similaire à la tienne peut être je vais trouver l'amour aussi 😩😩 IC05 Bravo mon frère c'est très très jolie comme dab 🥇🥇🥇🏆🏆🏆👑👑👑🧸🧸🧸🎁🎁🎁 IC05 toujours le fameux \poule\
Longue vie à vous les tourtereaux ! IC05 punaise je veux trop un mec motard 🥺 IC05 elle est tellement mims avec ses petits sauts mdr";"#pourtoi#fyp#viral#foryou";23600;74;945;40;"1w ago ";24400;74;969;40;24700;75;979;40
"https://www.tiktok.com/@academiedestars/video/7308782736284699937";"academiedestars";"https://www.tiktok.com/@academiedestars";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"https://www.tiktok.com/@mp31officiel/video/7308825877998062881";"mp31officiel";"https://www.tiktok.com/@mp31officiel";" IC05 Elle te va trop bien la coupe fo les fille face attention la IC05 force 😉💯🦾 IC05 je suis d'accord en dessous de la ceinture pas bien IC05 ta bien réçon de l'affiche 🥰 IC05 perd pas de temps à parler IC05 😁 IC05 répond mm pas calcule pas IC05 😂😂 IC05 wallah ça va loin y a plus de respect incroyable IC05 énervé 😂😂 IC05 Hhhahahahhaha il ta tuer la ! IC05 😂😂😂😂 IC05 Il a raison 😹 IC05 😂😂😂 IC05 tu es trop intelligent ne répond pas amitié à ta femme IC05 😂😂😂😂😂 IC05 Je t’ai toujours vu cool sur tes vidéos.ca c’est une m….. sans respect… IC05 respect force 😁 IC05 Tu aurais dû même pas répondre IC05 gravec😂😂😂 IC05 Je pense que l’éducation chez eux elle est à poils 😳 IC05 😳😂😂😂 IC05 Frérot j’ai acheté une clio 2 automatique essence je suis à 20l/100 de consommation sa peut être du à quoi ? IC05 Mais non, ça fait des trucs capillaires Chelou à ton âge🤣🤣🤣🤣🤣🤣 IC05 sois pas jaloux 😂😂😂😂😂 IC05 classe les cheveux et la barbe nickel.je vois que'tu as tjs des rageux..je ne les comprends pas 😳 IC05 😳😳😳😳force IC05 Wallah les gens sont fadas.ness mahichamch c’est grave.c’est des NARVALO de père en fils😰🇩🇿jusqu’à la mort IC05 😉💯🦾🦾🦾🦾 IC05 Laissez-le tranquille, c’est un gars bien c’est un bon gars gars, force à toi, mon frère IC05 force frero 😉💯 IC05 un commentaire de merde IC05 😂😂😂 IC05 Il y a un manque de respect, lancer un fils de pute pour parler comme ça c’est pas bien IC05 grave 😳";"@sayane2000";NA;NA;NA;NA;NA;95;98;4;3;95;98;4;3
"https://www.tiktok.com/@deco_naya/video/7308807548402928928";"deco_naya";"https://www.tiktok.com/@deco_naya";" IC05 moi j ai acheté celle avec je réservoir trop bien IC05 La quelle ? IC05 je l'ai acheter elle fonctionne très bien IC05 Oui elle et très trrzs bien IC05 wouhahou super c'est dans quel rayon ?
merci IC05 Oui elle est superbe rayon ménage 🥰 IC05 ces pas terribles une fois passée sous l'eau sa ce décolle 🥰 IC05 en plus je voulais la prendre apres jai laisse tombe bein c bon je vais la prendre cette fois☺️ IC05 Non franchement top et pour le prix je valide 🥰 IC05 J’aime bien ton salon, tu peux me dire dans quel coin tu as mis l’arbre à chat ? IC05 cela existe depuis longtemps. Effectivement très pratique si on a des animaux 🥰 IC05 Chez moi elle n’y était pas oui elle est superbe pratique j’ai 3 chats 🥰 IC05 Bonjour j’ai une petite question à tu des odeur du au chat ? IC05 Il y a quelques années je l'avais achetée à cora et beaucoup plus chère. Merci 🥰🥰 IC05 Trop bien 🥰 IC05 Merci ☺️oui très pratique IC05 je te laisserai tester IC05 je le trouve trop petit 🥺 IC05 Non franchement top en plus on peut la prendre partout valise sac IC05 Je vais l’acheter 😉 IC05 D’accord 😌 IC05 Je l’ai c’est super pratique IC05 Oui je valide aussi IC05 Super pratique ça avec des animaux IC05 j'en ai une plus grande une que je les mis sous l'eau c'est plus pareil";"#actionaddiction#astuce#poil#antipoils";549;34;170;65;"1w ago ";559;37;174;68;564;37;175;68
