"urls";"names";"user_links";"com";"hashtags";"liste_likes_2023.12.12";"liste_nb_commentaires_2023.12.12";"liste_nb_signets_2023.12.12";"liste_partages_2023.12.12";"dates";"liste_likes_2023.12.13";"liste_nb_commentaires_2023.12.13";"liste_nb_signets_2023.12.13";"liste_partages_2023.12.13";"liste_likes_2023-12-14";"liste_nb_commentaires_2023-12-14";"liste_nb_signets_2023-12-14";"liste_partages_2023-12-14"
"https://www.tiktok.com/@ns7backup/video/7310308837234429217";"ns7backup";"https://www.tiktok.com/@ns7backup";" IC05 Le meilleur joueur du monde IC05 wsh ce maillot est incroyable par contre IC05 le maillot 🥰🥰 IC05 6.8 en note de match ça vous va ?? IC05 je dis oh l otre là il fait quoi dans la vie maintenant ? IC05 Mais il est au courant que il a…𝗔𝗳𝗳𝗶𝗰𝗵𝗲𝗿 𝗽𝗹𝘂𝘀 IC05 la passe de Manè pour Cr7❤❤❤❤ IC05 LE KING 👑 CR7 🔥 MR RESPECT 🫡 OBLIGÉ ✊ IC05 Tandis que l’autre est rappeur 😂😂😂😂 IC05 Quel finesse ❤️ IC05 La où il va il écrit son histoire et on continue de dire que Messi et meilleur IC05 suiii IC05 J’aime trop le foot El hamdoulilah IC05 Suiiiii🥰 IC05 Simple Comme d’eau à boire ce but le Goat 🥰🙏 IC05 Le goat est de retour 🥰 IC05 Le pzsse de sadio mané🥰🥰🥰 IC05 Il sait plus comment il va marquer il a tout fait IC05 38 ans👏🏼👏🏼 IC05 64 g/a a 38 ans";NA;252400;1727;17700;2758;"3d ago ";271500;1809;19000;2959;281500;1854;19600;3015
"https://www.tiktok.com/@slicx.7aep/video/7296522701169036549";"slicx.7aep";"https://www.tiktok.com/@slicx.7aep";" IC05 maintenant le seul argument des pro Messi c'est qu'il à 8 ballon d'or IC05 c ribéry en face quand même , cr7 la envoyé en enfer IC05 mon bb IC05 Ronaldo il le voulais son ballon d'or 2013 IC05 Ronaldo le meilleur !! IC05 @Naël💎🇩🇿: ○ Neymar
○ Messi
● C. Ronaldo
○ Mbappé IC05 Aïe ribéry jviens de remarquer c’est lui mdr😂😂😂 IC05 Il a prévenue qu'il lui volerai son bo en 2013 IC05 je suis pour Messi IC05 🥰🥰 tu es le meilleur joueur du monde actuellement IC05 Incroyable 🤯 IC05 Suiiii IC05 dire que ce mec a donner l envie de foot a tellement de jeune IC05 Même la caméra n’a pas suivi IC05 trop fort IC05 Bro mateo messi could do that💀 IC05 bro young ronaldo would literally just spam step overs💀 IC05 Ronaldo&Quaresma vs Brazil💀🐐🇵🇹 IC05 Prime ronaldo at worldcup only in 2006💀🔥 IC05 Like por CR7 Y Kawasaki🐐🐧";NA;1800000;10700;277200;32000;"11-1";1900000;10900;282400;32800;1900000;11100;284900;33200
"https://www.tiktok.com/@josanleo_7/video/7306516340779552006";"josanleo_7";"https://www.tiktok.com/@josanleo_7";" IC05 ○ Neymar
○ Messi
● C. Ronaldo
○ Mbappé IC05 Ronaldo mèche sur le côté c'est l'antagoniste suprême IC05 mieux que polska IC05 celle avec Messi 🥰 IC05 mon homme😻 IC05 c est juste le goat🥰🥰 IC05 il a gagner la trend IC05 tu peux pas faire ce genre d’édit sur messi pcq c’est un gros autiste mdr IC05 Le vrai goat 🇵🇹🐐 IC05 Le goat la dictature du football IC05 ma star IC05 2024 🇵🇹 IC05 Nouveau son débloqué IC05 le vrai goat IC05 Wsh frr l’édit qu’il a fait IC05 voilà la c’est mieux IC05 Il a gagner la trend IC05 republie ça c’est mieux IC05 I still can’t believe messi ronaldo and neymar are near the end of their career:/ IC05 gano el trend💋";NA;534000;1467;87000;7883;"11-28";543000;1528;88300;8137;546100;1537;88900;8237
"https://www.tiktok.com/@alx_picuasi/video/7268088655296744710";"alx_picuasi";"https://www.tiktok.com/@alx_picuasi";" IC05 c est pas le même match mais vive Ronaldo le gpat IC05 moi je sait faire Ronaldo
🙎
🙆
🙅
🧍 suiiiiiiiii IC05 Suiiiiii IC05 admire et prosterne toi devant le goat IC05 Suiiiiiiiiiiiiiiiiiiiiiiiiiii IC05 Vraiment le goat IC05 y'avait marqué al nasser sur les bandes autour du stade au début 🤨🤨 IC05 SUIIIII RONONOLDO IC05 Suiiiiiiii IC05 Suiiiii IC05 suiiiiiiiiiiiiiiiiiiii🥰🥰🥰🥰 IC05 continu comme sa tes meilleur que lionel IC05 Ronaldo el mejor siuuuuuu IC05 Ronaldo > world 🌍🥵 IC05 Ronaldo is the best 😎😬😁 IC05 Lo peor es que Messi ganó ese partido xd IC05 cr7 o melhor desta geração sem dúvidas. e o mais completo também IC05 Ronaldo be like:
🙎
🙆
🙅
🧍 siuuuuuuuuuu🗿🗿 IC05 lah kok pas Ronaldo masuk point nya jadi 1 -0 bukan 1-1 yah bagus editannya🗿 IC05 después de esa celebración lo expulsaron, no como a Messi.";NA;NA;NA;NA;NA;NA;520600;3691;45700;8977;521400;3696;45700;9029
"https://www.tiktok.com/@mylatt7/video/7236944412838776066";"mylatt7";"https://www.tiktok.com/@mylatt7";" IC05 wesh à quelle moment il se dit vazi je tire IC05 Ronaldo est le meilleur joueur du monde, surtout quand il a mis une retournée IC05 Meilleur joueur au monde 🌍 aucun débat et si il aurait pas été bléssé il le bas mais de laaaaaaarge le pessi IC05 SUIIIII IC05 c'était pas dutous ronaldo la vidéo des cuisse se sont celle du cycliste lord de la fin ou 8 étape du tour de france IC05 Les gars c pas c jambe bande fou c celui d’un cycliste 😂😂😂😂 les bandeur de ronaldo IC05 suuuuiiii IC05 il est trop cool😁😁😁😁 IC05 Jonc IC05 ..//.//… ex IC05 4eme meilleur joueur de l’histoire IC05 @6dejrs IC05 au début c pas les cuisses de cr7 IC05 bonsoir IC05 c'est zlatan IC05 Malheureusement Messi existe il est IC05 The first one is Zlatan leg not ronaldo😉👌🏻 IC05 😂😂😂Pero Messi no necesita físico para ser el mejor jugador del mundo mundial 😂😂😂😂😂 IC05 that's not Ronaldo's leg💀 IC05 ilk videodaki bacak kasları Ronaldo'nun değil zaten öyle olsa koşamazdı";NA;974300;7867;103400;17800;"5-25";NA;NA;NA;NA;978600;7892;103900;17900
"https://www.tiktok.com/@c0rrupt.ae/video/7309157148301282593";"c0rrupt.ae";"https://www.tiktok.com/@c0rrupt.ae";" IC05 vous connaissez pas le IC05 kodiak Ronaldo IC05 Celui qui a dit kodiak Ronaldo m’a enlevé mon sourire IC05 j'investis dans ce tiktok:
like 12000
attendu 1500000 IC05 En tant que Messi fan l’édit est juste incroyable IC05 wsh sa mérite 1Million tout sa !!!! IC05 Il foudroie votre édit Neymar frauduleux IC05 la avant les 100k like IC05 jss la avant que sa perce IC05 la avant les 100k IC05 il foudroie pessimiste IC05 Vous connaissez pas le kodiak Cr7 IC05 il est ou le goat de ceet année du Barça et bah y en a pas tsais le mec qui a pas compris IC05 \mentalement infatigable CRISTIANO RONALDO LE GOAT\ IC05 Euuuf IC05 W édit 😮‍💨 IC05 mejor qué el de Messi IC05 Intentan Igualar el edit de Messi pero no pueden IC05 1. That one Messi edit
2. That one Ronaldo edit
3. That one Neymar edit IC05 edit de messi > IC05 after that Neymar edit
everybody become carzy 💀💀💀";NA;914600;8300;146800;17200;"6d ago ";1200000;10000;184100;21800;1300000;10700;198900;23900
