"urls";"names";"user_links";"com";"hashtags";"liste_likes_2023.12.12";"liste_nb_commentaires_2023.12.12";"liste_nb_signets_2023.12.12";"liste_partages_2023.12.12";"dates";"liste_likes_2023.12.13";"liste_nb_commentaires_2023.12.13";"liste_nb_signets_2023.12.13";"liste_partages_2023.12.13";"liste_likes_2023-12-14";"liste_nb_commentaires_2023-12-14";"liste_nb_signets_2023-12-14";"liste_partages_2023-12-14"
"https://www.tiktok.com/@matsueigaming/video/7310378647779593505";"matsueigaming";"https://www.tiktok.com/@matsueigaming";" IC05 Il sort quand the weeknd IC05 aujourd'hui normalement IC05 Il arrive quand the weeknd ??? IC05 aujourdh'ui IC05 Est ce que sirène va partir ? IC05 dsl je ne sais pas :'( IC05 je prends veinarde ou birdie IC05 dsl je ne t'influence pas :) IC05 Il viens quand the week-end ? IC05 aujourd'hui normalement IC05 j'achète pisteuse des marais ou pas ? IC05 dsl je ne t'influence pas :) IC05 c'est moi ou la boutique elle est plus à 1h du matin ? IC05 je crois que ils vont la changer c'est un truc de fou :'( IC05 Quand est ce que les skin super héron ressortent ? IC05 cc ma friand dsl je ne sais pas:'( IC05 cc my FRIAND je regarde toute t'es vidéos boutique continu 👍 IC05 merci ma friand :) IC05 Des infos pour Bruno mars? IC05 Dans 15H elle est dans cela veux dire à 16H de l’aprem elle viens la boutique ils s’abusent là ! IC05 🥳🥳🥳 oui :'( c'est abusé IC05 1er toujours IC05 🥳🥳 IC05 salut tu c'est quand ils sortent les skins F1 ? IC05 jsp dsl IC05 Wsh les gens IC05 🥳🥳🥳 CC ma friand :)= 🥳 ca va :D,? IC05 La boutique change à 17h IC05 on espère les skins f1 IC05 pas fou la boutique d'aujourd'hui :( IC05 Il sors quand freezer et cell IC05 Firsttt m’a friand IC05 🥳🥳 Team notif bg ma friand :) 🥳🥳 IC05 Com * IC05 🥳🥳";NA;578;74;30;2;"3d ago ";584;74;31;2;585;74;32;2
"https://www.tiktok.com/@boutique.ftn0/video/7310379640605003040";"boutique.ftn0";"https://www.tiktok.com/@boutique.ftn0";" IC05 La boutique elle change jms en se moment IC05 The weekend et ou ? IC05 Les gars j’ai acheté le pack sauver le monde pour comme sa je fais les quêtes pour les 1000 vbucks mais je trouve pas les quêtes je fait comment svp ? IC05 Le pass estival vient quand ? IC05 je prends veinarde ou birdie IC05 Elle coûte combien boxe";NA;NA;NA;NA;NA;NA;88;30;9;2;92;30;9;2
"https://www.tiktok.com/@wizznow/video/7310510097925524768";"wizznow";"https://www.tiktok.com/@wizznow";" IC05 Mais mdr la boutique elle est reset à 16 heures c'est normal que c'est la même";NA;NA;NA;NA;NA;NA;29;1;2;0;29;1;2;0
"https://www.tiktok.com/@fuzion5959/video/7310460748407344417";"fuzion5959";"https://www.tiktok.com/@fuzion5959";" IC05 \ ça sert strictement à rien d’acheter des véhicule vous aurez pas d’avantage en jeu \ tu crois qu’en achetant des skin t’a des avantages ?😭 IC05 C'est la boutique du 8 pas du 9 la boutique se mes à jour à 16 h";NA;NA;NA;NA;NA;NA;47;3;5;0;47;3;5;0
"https://www.tiktok.com/@johnnyreis13/video/7310471629132369184";"johnnyreis13";"https://www.tiktok.com/@johnnyreis13";" IC05 Vous en pensez quoi des skin de voiture ?? IC05 Ruby est à combien de v-bucks ? IC05 Ruby elle est à 1200 vbucks IC05 merci IC05 c la boutique du 8 IC05 il sort quand thé week-end ? IC05 Le prix est abusé quand même";NA;63;11;4;0;"3d ago ";NA;NA;NA;NA;69;11;6;0
"https://www.tiktok.com/@boutiquefortnitepredit/video/7310336752252652833";"boutiquefortnitepredit";"https://www.tiktok.com/@boutiquefortnitepredit";" IC05 il y a the weekend qui sort aujourd'hui IC05 La braqueurs devrait sortir dans cmb de temps max stp IC05 skieuse IC05 Squelette spectral vient quand IC05 Aussi bois un vient quand IC05 Holly jammer? IC05 Serenade IC05 Goku cuando sale IC05 the weeknd IC05 Agente do caus???? IC05 First IC05 C’est quand qu’elle revient sucre d’orge IC05 Braqueuse ? IC05 holly jammer";NA;134;17;12;3;"3d ago ";143;17;13;4;146;17;13;4
