"urls";"names";"user_links";"com";"hashtags";"liste_likes_2023.12.12";"liste_nb_commentaires_2023.12.12";"liste_nb_signets_2023.12.12";"liste_partages_2023.12.12";"dates";"liste_likes_2023.12.13";"liste_nb_commentaires_2023.12.13";"liste_nb_signets_2023.12.13";"liste_partages_2023.12.13";"liste_likes_2023-12-14";"liste_nb_commentaires_2023-12-14";"liste_nb_signets_2023-12-14";"liste_partages_2023-12-14"
"https://www.tiktok.com/@sanjayclips/video/7309913596115340577";"sanjayclips";"https://www.tiktok.com/@sanjayclips";" IC05 faut faire des défi IC05 Se quoi les défis ? IC05 dispo que aujourdhui ? IC05 moi aussi je m appelle sanjay mon reuf IC05 faut faire les quete IC05 Je t’adoe";"#fortnite#fortnitelego#sanjay";297;11;33;4;"4d ago ";NA;NA;NA;NA;330;12;38;4
"https://www.tiktok.com/@bossflex/video/7310187226976095521";"bossflex";"https://www.tiktok.com/@bossflex";" IC05 Merci je l’ai ! IC05 merci IC05 T’inquiètes 😁 IC05 Merci b IC05 mec jai une question essque si je le fais lundi je l'aurai car je suis en vacance jusqu'a lundi matin
une reponse please 🙏🙏🙏 IC05 J’ai fait ça jeudi 7 décembre, j’ai pas reçu le skin IC05 Merci mec je t’abonne IC05 c'est déjà passer IC05 Merci IC05 Thanks bro ❤️👑 IC05 Your welcome 😁 IC05 Your the 🐐 IC05 c est moi wsh IC05 😳";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"https://www.tiktok.com/@sthury_off/video/7308837261339036961";"sthury_off";"https://www.tiktok.com/@sthury_off";" IC05 j'ai terminé j'espère sa va marcher IC05 je lais avent le 7 IC05 je me suis tromper faut vous rendre sur epic game et dans compte conter le compte lego 👍";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;167;11;34;11
"https://www.tiktok.com/@anis_dmnn/video/7310254327401172256";"anis_dmnn";"https://www.tiktok.com/@anis_dmnn";" IC05 Je les pris mais pas eu IC05 Tu l’as normalement mais tu peux l’avoir que dans le mode Lego IC05 Le skin est tout en bas de la boutique 🫨";"";NA;NA;NA;NA;NA;41;9;5;2;41;9;5;2
"https://www.tiktok.com/@riskeels/video/7309833348610870560";"riskeels";"https://www.tiktok.com/@riskeels";" IC05 si je fait le truc pour avoir le skin lego maintenant je peut avoir le skin? IC05 quand je veux cliquer sur creer un monde je peux pas IC05 sa marche sur ps4 ? IC05 Sur switch on fait comment ? Je l’ai pas reçu IC05 Je l’es fait y’a 3jour je l’es pas eu IC05 j'ai bien associé mes 2 comptes j'ai rien reçu IC05 Tu regardes pas tes vidéos TikTok parce que on voit à moitié à chaque fois de l’écran IC05 J’ai rien reçu aussi";"";NA;NA;NA;NA;NA;354;23;63;0;355;23;63;0
"https://www.tiktok.com/@sparx_em/video/7310219017854192928";"sparx_em";"https://www.tiktok.com/@sparx_em";" IC05 Io l’ho fatto ma non mi da nessun incarico IC05 cos'è l'amico png? IC05 terzo IC05 Terzo IC05 secondo IC05 PRIMO 🥇";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;393;21;82;26
