"urls";"names";"user_links";"com";"hashtags";"liste_likes_2023.12.12";"liste_nb_commentaires_2023.12.12";"liste_nb_signets_2023.12.12";"liste_partages_2023.12.12";"dates";"liste_likes_2023.12.13";"liste_nb_commentaires_2023.12.13";"liste_nb_signets_2023.12.13";"liste_partages_2023.12.13";"liste_likes_2023-12-14";"liste_nb_commentaires_2023-12-14";"liste_nb_signets_2023-12-14";"liste_partages_2023-12-14"
"https://www.tiktok.com/@chickenhousettv/video/7309000364122983713";"chickenhousettv";"https://www.tiktok.com/@chickenhousettv";" IC05  IC05 En plus la Ferrari de Sonny Crockett dans le trailer 🥰💪 IC05 pense tu que sur Xbox séries s il tournera bien ? IC05 Ça tournera. « Bien » après… dur à dire 😅 IC05 ce qui. EUR dire 41 millions de clients. pas assez je trouve pour les 2 milliards dépensés pour faire le jeu IC05 Je pense que je me le prendrais sauf si il est trop cher par contre toujours pas de voitures marques officielles IC05 Mais pourquoi Y'a pas franklin ??😭😭 IC05 Peu importe le prix je l’achète même 700 balles même 1000 😅 IC05 Ça va ça passe ça reste propre on verra les nombreux bug en jouent 😂";"#gta6";6165;170;702;122;"1w ago ";6254;170;717;122;6279;170;720;123
"https://www.tiktok.com/@nocta_fao_off/video/7309138958414269729";"nocta_fao_off";"https://www.tiktok.com/@nocta_fao_off";" IC05 quand y va sortir yaura plus personne dehors mm au travail IC05 ra gta 6 j'ai trop hâte de l'avoir de ouf !!!!!! IC05 salut, n'oublie pas qu'il faut 180 euros 😭😭😭 IC05 la date de sortie est vraiment trop Loin 😳 IC05 ce de la dynamite gta6 il son tros fort IC05 Depuis longtemps les GTA s'inspire de fait réels, mais niveau graphisme par contre j'espère que ça sera comme certaines vidéos que j'ai pu voir sur YT IC05 ouiiii la date 19/09/25 sur la banderole de l'avion c'est en anglais IC05 une dinguerie IC05 Ils vont faire un record de ventes…. 12 ans d’attente en temps… 😉 Et il sera d’une qualité exceptionnelle IC05 gta c est ma vie IC05 il est attendu depuis trop longtemps srx IC05 Je pense qu’il va être pas mal, comme jeu IC05 ouii il est attendu waouuuu IC05 mdr c'est pas un secret c'est pas d'aujourd'hui qu'ont sait 😅 IC05 le tarif est impressionnant IC05 exactement vivement la sortie IC05 je crois on est pas prêt pour ce jeu !!! ❤️❤️❤️❤️ IC05 il va être magique 🤩🤩🤩🤩 IC05 le top 👍🏻👍🏻👍🏻 IC05 j'ai trop hâte";"#gta6#jeuxvideo#rockstargames";1097;48;161;56;"6d ago ";1113;48;165;56;1116;48;166;56
"https://www.tiktok.com/@flashredi/video/7308915818195111201";"flashredi";"https://www.tiktok.com/@flashredi";" IC05 Imaginais gta 6 a paris🤣🤣 IC05 Ils vont tous nous tromper avec les meufs des boites 😔 IC05 comment ça IC05 quand ma meuf va voir mes republications😶 IC05 sah non gars il va je le quitte IC05 le trailer y avait que des meufs qui twerkaient wsh pk IC05 je vais tout dépenser rien à faire IC05 première chose affaire avant de commencer une mission IC05 Vous commencez déjà 😂😂😂😂 IC05 jvais faire 1 mission, tt ce que j'aurais gagner on sait où ça va partir 🤣 IC05 He Deja en 2 ans il va s’en passer des choses essayons de rester en vie IC05 Ça va ce blesser le cobras et lâcher la sauce du chef à balle 😂😂 IC05 Hâte d’avoir un dlc vr IC05 sah j'aurais préféré rouler sur toute la map IC05 Cv renta les mission de lester 😂 IC05 il aura pris sa retraite d’ici la😂 IC05 77kème like je suis content IC05 Je veux voir c qui le nouveau lester qui nous volera 50% de notre tune à chaque mission IC05 Jvais acheter un dernier écran full 4k hahahahahah IC05 sa va pété PETERRR!!! IC05 NOÉ T'AS PAS INTÉRÊT";"#gta6#rockstar#ps5#gta";NA;NA;NA;NA;NA;99500;589;11000;2877;99500;589;11100;2880
"https://www.tiktok.com/@wyze_x/video/7307641995902602501";"wyze_x";"https://www.tiktok.com/@wyze_x";" IC05 Mais c’est où pour regarder le trailer de GTA 6 IC05 Mon père qui ne connaîtra jamais gta 6 IC05 GTA5 : \Maman je peut avoir ce jeu ? c'est un jeu de voiture t'inquiète!\
GTA 6 : \Carte ou espèce, monsieur ?\ IC05 c'est dur de se dire que des millers de personnes morte en attendant gta 6 IC05 une minute de silence pour seut qui ne pourront pas être avec nous IC05 imagine tu meur sans connaitre ke one piece et gta 6 IC05 Putain à chaque sortie de GTA je voit ça comme une étape de notre vie genre quand le 5 est sorti j’ete qu’un ado et la je suis adulte c’est fou sah IC05 En vrai on anttend gta 6 comme des oufs mais moi ça me brise le coeur de quitter GTA 5 où j’ai vécu les meilleurs moments avec mon frère 🥲 IC05 La tour elle est même pas fini … IC05 Mon meilleur ami qui ne connaîtra jamais GTA 6 IC05 j'aurais 14ans... IC05 y'a que les vrai qui savent que le clip de en bas vient de la mort de Arthur Morgan sur red dead IC05 je sens que je vais devoir acheter la play 5 juste pour gta IC05 une pensé à ceux qui sont parti trop tôt 🕊️😢🫡 IC05 salut a tous c'est la salle IC05 on y est, cela fait plus de 10 ans que GTA 5 est dans notre cœur, et cette page se tournera bientôt, un plaisir d’avoir grandi avec 🥹 IC05 J'avoue tous les amoureux de gta5 qui ne sont plus là aujourd'hui ne connaîtront jamais gta6 IC05 2025😢 IC05 Arthur💔 IC05 c'est red ded sa";"#gta6#gta6trailer";NA;NA;NA;NA;NA;459900;8393;49800;8283;461000;8431;49900;8291
"https://www.tiktok.com/@policenationale/video/7309073245452406049";"policenationale";"https://www.tiktok.com/@policenationale";" IC05 Pour les commentaires sur le téléphone au volant, il va falloir vous faire aider par un proche, partagez la vidéo pour lui demander son avis 😉 IC05 Mais dcp il utilise le téléphone au volant ? 🤔 IC05 même eux il veulent le buzz de gta 6 😂 IC05 Téléphone o volant c'est normal ? IC05 Meilleur vidéo que j’ai vue de la police nationale 😭😭 IC05 Att mais on est d’accord que la…𝗔𝗳𝗳𝗶𝗰𝗵𝗲𝗿 𝗽𝗹𝘂𝘀 IC05 Les gars c pas un téléphone qui filme mais surment une gopro IC05 Il faut avoir l’auteur qui gère ces tiktoks IC05 Wsh trop bien fait c’est abusé IC05 y’a pas de téléphone au volant ici, c’est intégré à la voiture c’est donc légal IC05 les boug qui disent téléphone au volant alors qu'il a une main sur le volant l'autre sur le levier de vitesse 😂😂 IC05 Il a un charisme incroyable IC05 😂😂 Trop fort IC05 Certes, ladite vidéo m'a délecté de rires, une œuvre des plus comiques en vérité. IC05 bahah quand j'ai vu police nationale ça m'a terminer. 😂😂😂 IC05 et le tel au volant hein?🤣🤣 IC05 J’avais même pas vue Amba c’était la police nationale 🤣 IC05 y sont trop forts IC05 On faisant appel à Lester il a payer la meme somme que si il serait arreter 🥲😅 IC05 Ouvrez vos yeux, il a une main sur le volant l’autre sur le levier de vitesse 🤦‍♂️";"#police#policenationale#rockstargames#GTAVI#GTA6";40100;371;3486;924;"6d ago ";41100;374;3566;939;41300;374;3579;944
"https://www.tiktok.com/@m6info_/video/7309135550320037153";"m6info_";"https://www.tiktok.com/@m6info_";" IC05 Y’avait des personnages femmes jouables des le premier gta faut revoir vos sources les gars IC05 Heu t’es des exemples IC05 Bah gta 1 et je crois tu pouvais même jouer avec une femme sur sa IC05 J’ai vraiment commencé gta avec 3 VC et SA y’avait que Carl Johnson IC05 Oui cj mais tu pouvais jouer en coop avec une femme IC05 C’était un mod alors";"#gta#gtavi#lucia#vicecity#jeuxvideo#rockstargames#m6info#actu#fyp";NA;NA;NA;NA;NA;145;7;9;0;145;7;9;0
