"urls";"names";"user_links";"com";"hashtags"
"https://www.tiktok.com/@captainjohnryan/video/7307914480422276384";"captainjohnryan";"https://www.tiktok.com/@captainjohnryan";" IC05 il fait le dur mais ça va pas durer 😂😂😂 IC05 avec de l'argent tout le monde peut devenir parrain, papa, maman se que tu veux IC05 Cadors IC05 conclusion il a un coming out a faire jcroit 💀🤣 IC05 la voix qui lit les sms me fume 😂 IC05 il a jamais été aussi haute ptdr IC05 il est fixé Ur ça IC05 le parrain de rien du tout IC05 c est lui qui dirige le monde entier et l' univers intergalactique IC05 Et vous tous vous regardez son émission de merde , bande de rigolos IC05 🥹🥹🥹🥹🥹🥹🥹🥹 IC05 Les messages 😂😂😂 mais en vrai il faut montrer toute la conversation parce que ça se trouve rien avoir IC05 son émission est à gerber, il est vulgaire et manipulateur, menteur et diffamateur, à vomir IC05 vous êtes idiots si vous pensez qu'il va tomber 😂 ce mec est à gerber mais il fait trop de fric. il partira qd il laura décide malheureusement IC05 même s'il est denoncer tu penses ? IC05 guignol Hanouna galber comme un cure dent 2 baffes je t endort IC05 Je ne l’ai jamais kiffé donc qu’il tombe IC05 Sur son plateau il se la Pete mais une fois dehors y a plus personne IC05 ptdrr un tigre du Bengale carrément IC05 mec il abusé 😂 IC05 fait trop le mafieux IC05 vraiment IC05 Moi je le trouve top dans ce merdier ambiant …. C’est le seul qui a des couilles … les autres sont des pantins désarticulés !!!";"#fyp#tpmp#complementdenquete#cyrilhanouna#bolloré"
"https://www.tiktok.com/@algeria____news99/video/7297645300448005408";"algeria____news99";"https://www.tiktok.com/@algeria____news99";" IC05 Bien dit je n'ai jamais regardé TPMP tellement le niveau est bas👍👍👍 IC05 Il a dit quoi ?? On a pas compris ? IC05 moi je regarde pas tpmp IC05 ma parole t'as tout dis👏👏👏 IC05 tpmp pro Zemmour et front national IC05 C'est cash et subtil à la fois 👍 IC05 Tout a été tellement dit 😭😭😭 IC05 Mdrrr très fort IC05 Touche pas à mon peuple ranouna😅 IC05 C les feu je des années 70 IC05 je t'aime mon frère Abou IC05 Le meilleur 😂😂😂 IC05 mais personne est BOOBA NN PLUS IC05 🤣🤣🤣😂😂 excellent IC05 cela fait longtemps que je l avais cerné, enfin les gens ouvrent les yeux🎉🎉🎉🎉 IC05 TPMP est sous perfusion la réanimation c’est pour bientôt!!😏 IC05 Bien parlé mec 🥰🥰😂😂 IC05 jamais vu IC05 Bravo👍🏻👍🏻👍🏻 IC05 je ne regarde plus la télé depuis des années que des insultes indirecte a nôtre religion";"#pourtoi#meme#algeriensdefrance#tiktok_dz#dzfrance_paris"
"https://www.tiktok.com/@reportage_07/video/7307562957955779872";"reportage_07";"https://www.tiktok.com/@reportage_07";" IC05 il a subi Matthieu.... IC05 Hanouna se prend pour un humoriste mais il n'est pas drôle, il est pédant prétentieux... peut-être un syndrome inconscient de l'imposteur ? IC05 😂😂 IC05 oui mais Mathieu apparemment il aime ça jusqu'à a maintenant il défend touj hanouna dans des tweets IC05 Je le supporte plus hanouna qui respecte personne 😒 IC05 :) IC05 Vous n’avez pas de bureau 😂😂la vanne IC05 🤣🤣 IC05 Matthieu se défendais bien franchement aussi hanouna n’a plus de répartie après lui IC05 15 ans vous annoncer sa fin 15 ans qu'il cartonne en audience 😂😂😂😂😂 IC05 pourtant tout le monde le soutien 😏 IC05 Plus beaucoup… IC05 il vient de résigné son contrat jusqu'à 2026 IC05 Ah bon 😳 IC05 Le pire c qu'il pourrai s'arrêter à une comparaison ou une descente la il en fait des caisses à chaque fois IC05 Il rigole ces bon IC05 😁😁😁 IC05 😳😳😳 IC05 😂😂😂 IC05 Delormeau la atomisé 😏 🤣🤣🤣 IC05 de cet émissions car visiblement il fait que tacler ses inviter . IC05 Le charisme de Delormeau par rapport à Hanouna c’est dingue 😳 IC05 Le regard de Mathieu mskn";"#reportage"
"https://www.tiktok.com/@fafadefabz/video/7308333507141553440";"fafadefabz";"https://www.tiktok.com/@fafadefabz";" IC05 lol il dit qu il doit faire attention à ce qu il dit ....une blague ?? IC05 il n’à jamais été aussi haut, il a résigné son contrat jusqu'à 2026 IC05 @0 IC05 Je suis contente qu’il chute 😂 j’espère que personne regarde son émission pourrie !!!! IC05 je suis stupéfait par ceux qui arrivent a regarder ça...c'est le reflet de votre âme ! IC05 merci à Gérard Faure et à la jeune femme qui ose parler ! IC05 HANOUNA LE FICHE DE LÂCHE 🇮🇱 IC05 qu'il crève IC05 je suis extrêmement content qu'il chute comment je le haie IC05 c'est fou comment cyril a changé avant c'était un vieux type que personne calculé mtn il se permet de parler mal. oublie pas d'où tu vient";"#hanouna#cyrilhanouna#Cyrilhanouna#cyrilhanouna_officiel"
"https://www.tiktok.com/@tv_kenekine/video/7308403980529306912";"tv_kenekine";"https://www.tiktok.com/@tv_kenekine";" IC05 Le pauvre gille dit pardon 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ IC05 Détestable !! Ils n'ont à boycotter cette émission ! IC05 maillet insupportable seule vérité d Hanouna";"#pourtoi#ciryl#cirylhanouna#chute#histoirevrai#podcast"
"https://www.tiktok.com/@ominaka_conseils/video/7307940775935872288";"ominaka_conseils";"https://www.tiktok.com/@ominaka_conseils";" IC05 La raison, Booba IC05 bravo Booba IC05 👌🏾 IC05 caso";"#Complementdenquete#cyrilhanouna#cyrilhanounachute#choc#tpmp#documentaire"
