"urls";"names";"user_links";"com";"hashtags"
"https://www.tiktok.com/@actu2folies/video/7309960933009329441";"actu2folies";"https://www.tiktok.com/@actu2folies";" IC05 J’aime pas Macron mais là je vois pas trop ce qu’on lui reproche ! J’ai l’impression que bcp ne comprennent pas ce qu’il explique … IC05 il dit justement le contraire \"un discours que j'invalide, que quiconque vit à Gaza... etc\"
je le supporte pas mais la faut pas être aussi malhonnête IC05 HEIN COMMENT ÇA? donc pour lui quiconque vit a gaza fait partie du terrorisme ?!?! tfou a3lik IC05 L’art du « en même temps »… il est fort pour dire tout et son contraire selon ses interlocuteurs !! 😈 IC05 Il invalide donc il ne cautionne pas le fait de dire quiconque vit à Gaza fait partie du terrorisme il n est pas on IC05 Il dit quelques choses et fait le contraire IC05 quelles toutes les opinions ? IC05 John tu m'enlève les mots de ma bouche IC05 ciblé ahahah IC05 Ia ou vrais ? Psk on c plus la cbon IC05 il faut sauver le soldat tsahal ???....... IC05 Voilà un narratif bien dit IC05 mais pourquoi il est tout seul à cette table ??🤔 IC05 Qu’il invalide TOTALEMENT IC05 merde Macron dit un truc sensé pour une fois IC05 lui macron soutiens l'antisémitisme de villepin et melenchon sont comme Jacques chirac des hommes juste et vraiment très honnêtes IC05 Il a raison ! IC05 Voilà tous et dit IC05 humilié par ? IC05 il a l'air sincère, le problème c'est que demain il aura déjà dit l'inverse";""
"https://www.tiktok.com/@clip2kick/video/7310246219622796576";"clip2kick";"https://www.tiktok.com/@clip2kick";" IC05 😂😂😂 que quoi IC05 Mdr c les spam😂";""
"https://www.tiktok.com/@djitrihannibal/video/7307997040615738657";"djitrihannibal";"https://www.tiktok.com/@djitrihannibal";" IC05 qui écoute encore Macron parmi les dirigeants ? IC05 entre Macron l'abr***** de service, et la COP28 a Dubaï, les blagues ça n'en fini plus 😂 IC05 😂😂😂 IC05 la france à perdu son prestige d avant dommage IC05 😂😂😂 IC05 ils commencent à en avoir marre de toi macron ils vont finir par te présenter directement à dieu IC05 😂😂😂 très subtil! IC05 Il s’est pris un vent !! Peut-être l’annonce d’une tornade qui va lui arriver dessus !! Karma… 🙏 IC05 Il a pas encore compris qu’on ne veut plus l’entendre dans le monde entier 😂😂😂😂 IC05 Faut qu’il dégage personne honte à se président l onu vont le destituer de ses fonctions donner lui à Marine au moin elle nous envoie chez nous 😂😂 IC05 Chupa chups !!!!!😂😂😂😂😂 IC05 😂😂😂";""
"https://www.tiktok.com/@lacassosseriedunet/video/7280176319252516129";"lacassosseriedunet";"https://www.tiktok.com/@lacassosseriedunet";"";""
"https://www.tiktok.com/@enchan.tricks/video/7310155527575637281";"enchan.tricks";"https://www.tiktok.com/@enchan.tricks";"";""
"https://www.tiktok.com/@yannbarthesoff/video/7310189955597208865";"yannbarthesoff";"https://www.tiktok.com/@yannbarthesoff";" IC05 Ça me tue comment tout le monde se redresse pour condamner Poutine mais tout le monde la ferme quand il s’agit de condamner Netanyahu. IC05 donc vous êtes tous d'accord de condamner poutine mais vous êtes incapable de condamner Netanyahu 🙄🙄 l'hypocrisie en personne IC05 Je suis frappé par le fait que tout le monde critique vivement Poutine, mais reste silencieux quand il s'agit de critiquer Netanyahu IC05 Et Netanyahu il est ou son mandat d'arrêt?? Crimes de guerre quand ça les arrangent. IC05 La cop28 pour l’environnement à Dubaï 🤣🤣…c’est comme si on faisait une réunion de paix en Israël 😂 IC05 Il est où le Mandat d’arrêt pour Netanyahu ?????? IC05 j'ai une autre blague bien mieux que celle-ci , c comment vous condamnez poutine mais vous supportez Netanyahu💀 alors qu'au moin poutine ne cible pas IC05 Je croyais que quotidien différent, mais en fait c est la même chose que tous les autres média français 😡😡 ils répètent les mensonges, et les signen IC05 Mais c’est toi la blague , personne ne parle de Netanyahu et ses crimes ignobles IC05 je préfère voir la tête de poutine que celle de Macron IC05 il faut frotter encore plus pour voir ce que l'occident fait, comme ne pas comdanner Netanyahu, énorme blague non?? IC05 désolé mais quand Netanyahu sera sanctionné comme tonton poutin l'occident redeviendra crédible. IC05 et Netanyahu vous dite quoi sur lui l'assassin IC05 Quand vous allez arrêter Netanyahu ? IC05 c'est facile pour vous de condamner poutine mais vous fermez les yeux quand il s'agit de condamner Netenyahu... hypocrisie malheureusement IC05 Vous pensez quoi de Netanyahu, le grand dictateur jamais connu IC05 Sarkozy n'est pas condamne pour la lybie, bush pour l'irak, Netanyahu pour la Palestine, tout le monde se la ferme, mais la CPI existe pour certains IC05 jpp des coms
les gars personne a dit que ce que fait Netanyahu est tranquille loin de là mais c'est pas parce qu'on parle de Poutine 1/2 IC05 pour une fois que quotidien fait un sujet sans parler du RN...ça leur change.
ils doivent être en sueur ! 😏 IC05 donc vous êtes tous d'accord de condamner poutine mais vous êtes incapable de condamner Netanyahu 🙄🙄 l'hypocrisie en personne";""
